size,center,way,label
0.007522,51.5979854/-0.2390706,118906069,RAF Museum
0.007379,51.4812148/-0.0051230,183090507,Royal Museums Greenwich
0.006768,51.4962929/-0.1764750,24436446,Natural History Museum
0.006084,51.4421941/-0.0616866,5095245,Horniman Museum and Gardens
0.005164,51.4973961/-0.1761901,27765411,Science Museum
0.004995,51.4968503/-0.1720846,4960173,Victoria and Albert Museum
0.004261,,40405915,(relation/177044)
0.003367,51.4911110/-0.1276205,24553580,Tate Britain
0.003142,51.5406357/-0.4650868,132133793,Battle of Britain Bunker - RAF Uxbridge
0.003037,51.5074955/-0.0993188,24642569,Tate Modern
0.002724,51.5987361/-0.2386877,118906074,Historic Hangars
0.002321,,37909715,(relation/177044)
0.002254,51.5972635/-0.2401540,4417253,Battle of Britain Hall
0.002141,,156190525,(relation/2711501)
0.002075,51.5046080/-0.2813598,43634102,Transport Museum Depot
0.001933,51.5988905/-0.2379046,118906073,Bomber Command Hall
0.001900,51.4807680/-0.0054071,183090506,National Maritime Museum
0.001774,51.4957826/-0.1085966,8614496,Imperial War Museum
0.001644,,9558984,(relation/1912113)
0.001618,51.4939326/0.0706158,103143319,Firepower Artillery Museum
0.001571,51.5766797/-0.0347906,82785023,Pump House Museum
0.001491,,24436380,(relation/29795)
0.001418,51.4410292/-0.0609930,210442848,Horniman Museum
0.001345,51.5976816/-0.2375537,118906066,Milestones of Flight
0.001289,51.5290503/-0.0548336,10790633,V&A Museum of Childhood
0.001274,51.4923916/-0.1049937,306698053,The Cinema Museum
0.001251,51.4862021/-0.1602642,10807015,National Army Museum
0.001230,51.4889244/-0.2905184,23699363,London Museum of Water and Steam
0.001229,51.4919784/-0.3184987,23458099,Boston Manor
0.001187,51.4892896/-0.2907207,286412825,Museum Garden
0.001179,51.4995416/-0.2863809,25911545,Gunnersbury Park Museum
0.001162,51.4949673/-0.1199654,117047225,Garden Museum
0.001127,51.5962668/-0.2379543,39590918,Grahame White Aircraft Factory
0.001097,51.5075949/-0.0238749,140144139,Museum of London Docklands
0.000986,51.4910228/-0.0967984,80278329,The Cuming Museum
0.000926,51.4347560/-0.2134594,121750021,Wimbledon Museum
0.000900,51.5097850/-0.1424061,128812567,Royal Institution and Faraday Museum
0.000895,51.5155184/-0.0914123,156172966,Guildhall Art Gallery
0.000886,51.4811333/-0.0037203,238208209,Queen's House
0.000884,51.4571069/-0.2004377,30839266,Wandsworth Museum and De Morgan Centre
0.000874,51.5026968/-0.0719322,24541159,Design Museum
0.000833,,9558987,(relation/1912113)
0.000799,51.5034915/-0.1517360,120316250,Apsley House
0.000792,51.5840584/-0.0128874,23941901,Vestry House Museum
0.000769,51.5011690/-0.0816674,101154182,Fashion and Textile Museum
0.000748,51.5668265/0.2569676,206348902,Upminster Tithe Barn
0.000718,51.5991219/-0.0752754,42003475,Bruce Castle Museum
0.000703,51.5962866/-0.2385142,118906077,Grahame White Watch Office
0.000666,51.5818847/-0.0615420,115554282,Markfield Beam Engine & Museum
0.000654,,201846173,(relation/2711501)
0.000654,51.5912846/-0.0202684,181770911,William Morris Gallery
0.000654,51.4878375/-0.2931208,129870347,The Musical Museum
0.000625,51.5069645/-0.0918755,82770797,The Clink
0.000617,51.5187272/-0.0357114,182395637,Ragged School Museum
0.000606,51.5317345/-0.0761904,107807460,Geffrye Museum
0.000597,51.4796506/-0.2899901,55458978,Museum No. 1
0.000592,51.6696351/-0.0682484,4993790,(relation/None)
0.000557,51.4554056/0.1303699,209281563,Red House
0.000557,,201846172,(relation/2711501)
0.000527,51.3652213/-0.1650848,148707730,Honeywood House
0.000480,51.4986335/-0.2031130,115594423,Leighton House Museum
0.000477,51.4779663/-0.0019935,268533444,Flamsteed House
0.000476,51.5050449/-0.0885153,90404358,Old Operating Theatre Museum
0.000474,51.5483111/-0.1773927,103107384,(relation/None)
0.000470,51.5251953/-0.1216943,28269975,Foundling Museum
0.000468,51.5341952/-0.1202059,190831613,London Canal Museum
0.000465,51.4768458/-0.0005322,268533442,Astronomy Centre
0.000443,51.5059629/-0.1015837,82459230,Kirkaldy Testing Museum
0.000424,51.4197180/-0.0766168,4960905,Crystal Palace Museum
0.000410,51.4866277/-0.1984546,151996457,Metropolitan Police Heritage Centre and Gift Shop
0.000394,51.5582005/-0.1750858,77250946,Burgh House and Hampstead Museum
0.000390,51.5076109/-0.1248813,104081033,Benjamin Franklin House
0.000368,51.5170112/-0.1174270,61453261,Sir John Soane's Museum
0.000365,51.5588884/-0.1796956,110388485,Fenton House
0.000355,51.5555155/-0.1679356,65272940,Keats House
0.000351,51.5721483/0.0660999,174651219,Dairy Wing
0.000297,51.5016448/-0.0527630,146412246,Brunel Museum
0.000296,51.4983418/-0.1360481,165847989,Blewcoat School
0.000294,51.5737702/-0.3353340,185076070,Museum of Harrow Life
0.000269,51.4887859/-0.2899456,286412821,Diesel House
0.000269,51.5060270/-0.0814381,203708843,HMS Belfast ticket office
0.000241,51.4778419/-0.0016557,268533454,Telescope Gallery
0.000221,51.5372588/-0.1446188,232592410,The Jewish Museum
0.000220,51.4777293/-0.0011587,268533517,28 Inch Telescope Dome
0.000213,51.4886801/-0.2898459,286412824,Workshop
0.000174,51.5404805/-0.4646324,165902158,Battle of Britain Bunker
0.000172,51.5237601/-0.1585052,176312585,The Sherlock Holmes Museum
0.000159,51.4778239/-0.0014897,268533446,Meridian Building
0.000155,51.4773381/-0.0008729,268533441,Altazimuth Pavilion
0.000140,51.5149096/-0.1081642,43706245,Dr. Johnson's House
0.000119,51.5022017/-0.1293491,197206542,Churchill Museum and Cabinet War Rooms
