size,center,way,label
0.013463,,95809105,Chiltern Open Air Museum
0.009154,,246300057,Brooklands Museum
0.007522,,118906069,RAF Museum
0.007379,,183090507,Royal Museums Greenwich
0.006768,,24436446,Natural History Museum
0.006084,,5095245,Horniman Museum and Gardens
0.005164,,27765411,Science Museum
0.004995,,4960173,Victoria and Albert Museum
0.004261,,40405915,British Museum
0.003367,,24553580,Tate Britain
0.003142,,132133793,Battle of Britain Bunker - RAF Uxbridge
0.003037,,24642569,Tate Modern
0.002724,,118906074,Historic Hangars
0.002254,,4417253,Battle of Britain Hall
0.002141,,156190525,(relation/2711501)
0.002075,,43634102,Transport Museum Depot
0.001933,,118906073,Bomber Command Hall
0.001900,,183090506,National Maritime Museum
0.001774,,8614496,Imperial War Museum
0.001644,,9558984,(relation/1912113)
0.001618,,103143319,Firepower Artillery Museum
0.001571,,82785023,Pump House Museum
0.001491,,24436380,(relation/29795)
0.001418,,210442848,Horniman Museum
0.001345,,118906066,Milestones of Flight
0.001323,,10790633,V&A Museum of Childhood
0.001251,,10807015,National Army Museum
0.001230,,23699363,London Museum of Water and Steam
0.001198,,23458099,Boston Manor
0.001189,,117047225,Garden Museum
0.001187,,286412825,Museum Garden
0.001179,,25911545,Gunnersbury Park Museum
0.001127,,39590918,Grahame White Aircraft Factory
0.001097,,140144139,Museum of London Docklands
0.000986,,80278329,The Cuming Museum
0.000926,,121750021,Wimbledon Museum
0.000900,,128812567,Royal Institution and Faraday Museum
0.000895,,156172966,Guildhall Art Gallery
0.000892,,43917586,Dartford Borough Museum and Library
0.000886,,238208209,Queen's House
0.000884,,30839266,Wandsworth Museum and De Morgan Centre
0.000874,,24541159,Design Museum
0.000833,,9558987,(relation/1912113)
0.000802,,140327400,Egham Museum
0.000799,,120316250,Apsley House
0.000792,,23941901,Vestry House Museum
0.000769,,101154182,Fashion and Textile Museum
0.000748,,206348902,Upminster Tithe Barn
0.000718,,42003475,Bruce Castle Museum
0.000703,,118906077,Grahame White Watch Office
0.000701,,208429132,Weybridge Library and Elmbridge Museum
0.000666,,115554282,Markfield Beam Engine & Museum
0.000654,,201846173,(relation/2711501)
0.000654,,181770911,William Morris Gallery
0.000632,,129870347,The Musical Museum
0.000625,,82770797,The Clink
0.000617,,182395637,Ragged School Museum
0.000606,,107807460,Geffrye Museum
0.000597,,55458978,Museum No. 1
0.000592,,4993790,(relation/None)
0.000557,,209281563,Red House
0.000557,,201846172,(relation/2711501)
0.000527,,148707730,Honeywood House
0.000480,,115594423,Leighton House Museum
0.000477,,268533444,Flamsteed House
0.000476,,90404358,Old Operating Theatre Museum
0.000474,,103107384,(relation/None)
0.000470,,28269975,Foundling Museum
0.000468,,190831613,London Canal Museum
0.000465,,268533442,Astronomy Centre
0.000443,,82459230,Kirkaldy Testing Museum
0.000424,,4960905,Crystal Palace Museum
0.000419,,255871351,Quebec House
0.000410,,151996457,Metropolitan Police Heritage Centre and Gift Shop
0.000394,,77250946,Burgh House and Hampstead Museum
0.000390,,104081033,Benjamin Franklin House
0.000382,,194923622,Eton Natural History Museum
0.000368,,61453261,Sir John Soane's Museum
0.000365,,110388485,Fenton House
0.000355,,65272940,Keats House
0.000351,,174651219,Dairy Wing
0.000297,,146412246,Brunel Museum
0.000296,,165847989,Blewcoat School
0.000294,,185076070,Museum of Harrow Life
0.000269,,286412821,Diesel House
0.000269,,203708843,HMS Belfast
0.000248,,149913507,Otford Heritage Centre
0.000241,,268533454,Telescope Gallery
0.000227,,187420538,(relation/None)
0.000221,,232592410,The Jewish Museum
0.000220,,268533517,28 Inch Telescope Dome
0.000213,,286412824,Workshop
0.000174,,165902158,Battle of Britain Bunker
0.000172,,176312585,The Sherlock Holmes Museum
0.000159,,268533446,Meridian Building
0.000155,,268533441,Altazimuth Pavilion
0.000140,,43706245,Dr. Johnson's House
0.000119,,197206542,Churchill Museum and Cabinet War Rooms
