rel way node lat lon
-- http://www.openstreetmap.org/way/4417253 Battle of Britain Hall
relation 4417253 27041698 51.5975511 -0.2409296
relation 4417253 1336630050 51.5973276 -0.2395374
relation 4417253 27041711 51.5972816 -0.2392512
relation 4417253 27041707 51.5969758 -0.2393784
relation 4417253 27041702 51.5972453 -0.2410568
relation 4417253 27041698 51.5975511 -0.2409296
-- http://www.openstreetmap.org/way/4960173 Victoria and Albert Museum
29795 4960173 32830560 51.4958753 -0.1734528
29795 4960173 32830548 51.4959695 -0.1726191
29795 4960173 1106651377 51.4960098 -0.1726333
29795 4960173 1321766293 51.4960780 -0.1722039
29795 4960173 1321766558 51.4961741 -0.1716370
29795 4960173 1106651435 51.4962840 -0.1712157
29795 4960173 1106651576 51.4962265 -0.1711871
29795 4960173 32830549 51.4964431 -0.1704077
29795 4960173 1321766797 51.4965427 -0.1704807
29795 4960173 1321766253 51.4965550 -0.1704414
29795 4960173 1321766486 51.4966249 -0.1704891
29795 4960173 1321766728 51.4966388 -0.1704442
29795 4960173 1321766186 51.4967297 -0.1705087
29795 4960173 1321766402 51.4967140 -0.1705733
29795 4960173 1321766648 51.4977868 -0.1713619
29795 4960173 1321766098 51.4977745 -0.1714181
29795 4960173 32830550 51.4978252 -0.1714602
29795 4960173 1321766339 51.4977938 -0.1715836
29795 4960173 1321766602 51.4978147 -0.1715977
29795 4960173 1321766841 51.4977903 -0.1716847
29795 4960173 1321766285 51.4978200 -0.1717127
29795 4960173 32830551 51.4977784 -0.1721042
29795 4960173 1166239573 51.4977360 -0.1723357
29795 4960173 1166239574 51.4977107 -0.1724738
29795 4960173 1106651517 51.4975679 -0.1732535
29795 4960173 1106651595 51.4971657 -0.1731160
29795 4960173 1106651471 51.4971314 -0.1732775
29795 4960173 1106651422 51.4975251 -0.1733737
29795 4960173 32830552 51.4974950 -0.1737279
29795 4960173 1321766540 51.4974443 -0.1737194
29795 4960173 1321766788 51.4974408 -0.1737615
29795 4960173 1321766237 51.4973517 -0.1737447
29795 4960173 1321766466 51.4973500 -0.1737250
29795 4960173 1356891445 51.4965964 -0.1735859
29795 4960173 1356891443 51.4965787 -0.1735826
29795 4960173 32830560 51.4958753 -0.1734528
-- http://www.openstreetmap.org/way/4960905 Crystal Palace Museum
relation 4960905 32845894 51.4198245 -0.0766850
relation 4960905 1379828958 51.4198136 -0.0766423
relation 4960905 32845895 51.4198013 -0.0765938
relation 4960905 32845896 51.4197485 -0.0766283
relation 4960905 32845897 51.4197094 -0.0764742
relation 4960905 32845898 51.4196226 -0.0765309
relation 4960905 2194596718 51.4196271 -0.0765486
relation 4960905 2194596713 51.4196115 -0.0765588
relation 4960905 2194596720 51.4196275 -0.0766218
relation 4960905 2194596724 51.4196431 -0.0766117
relation 4960905 1267657129 51.4196798 -0.0767562
relation 4960905 1267657274 51.4197054 -0.0767394
relation 4960905 32845899 51.4197105 -0.0767594
relation 4960905 32845894 51.4198245 -0.0766850
-- http://www.openstreetmap.org/way/4993790 (http://www.openstreetmap.org/relation/relation)
relation 4993790 33147457 51.6696763 -0.0680952
relation 4993790 33147458 51.6695270 -0.0681901
relation 4993790 33147459 51.6696273 -0.0685380
relation 4993790 33147460 51.6697653 -0.0684316
relation 4993790 33147457 51.6696763 -0.0680952
-- http://www.openstreetmap.org/way/5095245 Horniman Museum and Gardens
relation 5095245 32869229 51.4414800 -0.0604999
relation 5095245 32869228 51.4406148 -0.0606280
relation 5095245 34779695 51.4406213 -0.0608922
relation 5095245 32869227 51.4406320 -0.0613283
relation 5095245 33778452 51.4406468 -0.0618673
relation 5095245 32869226 51.4407165 -0.0625665
relation 5095245 32869225 51.4408408 -0.0632132
relation 5095245 2205062092 51.4410113 -0.0640011
relation 5095245 2205062093 51.4410143 -0.0640135
relation 5095245 32869129 51.4410728 -0.0642901
relation 5095245 32869237 51.4414971 -0.0640103
relation 5095245 2205062123 51.4417656 -0.0637982
relation 5095245 32869236 51.4421997 -0.0634826
relation 5095245 2205062169 51.4424137 -0.0633419
relation 5095245 936793533 51.4432656 -0.0628411
relation 5095245 275531123 51.4437717 -0.0625880
relation 5095245 32869235 51.4437735 -0.0625850
relation 5095245 936793504 51.4437487 -0.0625012
relation 5095245 936793523 51.4436680 -0.0623240
relation 5095245 936793724 51.4430978 -0.0614264
relation 5095245 32869234 51.4430776 -0.0614472
relation 5095245 32869233 51.4430544 -0.0614105
relation 5095245 416451217 51.4430313 -0.0613761
relation 5095245 2205062181 51.4427649 -0.0608532
relation 5095245 2205062179 51.4425671 -0.0603686
relation 5095245 34775511 51.4424601 -0.0601067
relation 5095245 34775514 51.4421594 -0.0590831
relation 5095245 34775517 51.4416335 -0.0593958
relation 5095245 34775521 51.4416298 -0.0599987
relation 5095245 34775523 51.4414780 -0.0600004
relation 5095245 32869229 51.4414800 -0.0604999
-- http://www.openstreetmap.org/way/8614496 Imperial War Museum
relation 8614496 986832369 51.4953430 -0.1090109
relation 8614496 986832237 51.4953427 -0.1089083
relation 8614496 986831867 51.4954185 -0.1089076
relation 8614496 986832461 51.4954181 -0.1088026
relation 8614496 986832026 51.4953738 -0.1088030
relation 8614496 986831375 51.4953729 -0.1085563
relation 8614496 986832070 51.4953358 -0.1085567
relation 8614496 986832142 51.4953355 -0.1084675
relation 8614496 986831576 51.4952779 -0.1084681
relation 8614496 986832016 51.4952768 -0.1081916
relation 8614496 61328920 51.4962211 -0.1081823
relation 8614496 986832321 51.4962222 -0.1084718
relation 8614496 986832384 51.4962873 -0.1084712
relation 8614496 61328981 51.4962877 -0.1085627
relation 8614496 986831960 51.4962883 -0.1087215
relation 8614496 986831397 51.4962169 -0.1087222
relation 8614496 61328912 51.4962179 -0.1090022
relation 8614496 986832369 51.4953430 -0.1090109
-- http://www.openstreetmap.org/way/9558984 (http://www.openstreetmap.org/relation/1912113)
1912113 9558984 74004007 51.5004688 -0.1185803
1912113 9558984 74004023 51.4999904 -0.1186723
1912113 9558984 74004037 51.4999095 -0.1175878
1912113 9558984 74004047 51.5003880 -0.1174958
1912113 9558984 74004007 51.5004688 -0.1185803
-- http://www.openstreetmap.org/way/9558987 (http://www.openstreetmap.org/relation/1912113)
1912113 9558987 74004104 51.5003012 -0.1183725
1912113 9558987 74004124 51.5001226 -0.1184025
1912113 9558987 74004117 51.5000825 -0.1177881
1912113 9558987 74004112 51.5002612 -0.1177581
1912113 9558987 74004104 51.5003012 -0.1183725
-- http://www.openstreetmap.org/way/10790633 V&A Museum of Childhood
relation 10790633 96006680 51.5292160 -0.0553080
relation 10790633 1213564003 51.5290330 -0.0552411
relation 10790633 96006681 51.5288635 -0.0551792
relation 10790633 96006682 51.5290024 -0.0543381
relation 10790633 96006684 51.5293441 -0.0544582
relation 10790633 96006680 51.5292160 -0.0553080
-- http://www.openstreetmap.org/way/10807015 National Army Museum
relation 10807015 96071858 51.4858974 -0.1601601
relation 10807015 1851327958 51.4861905 -0.1597272
relation 10807015 1851328085 51.4862922 -0.1599047
relation 10807015 1851328151 51.4862411 -0.1599801
relation 10807015 96071860 51.4865067 -0.1604437
relation 10807015 96071861 51.4862647 -0.1608012
